neighborhood,fire_score
Allegheny Center,8.792270531400966
Allegheny West,9.323671497584542
Allentown,5.458937198067632
Arlington,8.454106280193237
Arlington Heights,9.565217391304348
Banksville,8.647342995169083
Bedford Dwellings,8.21256038647343
Beechview,5.8937198067632846
Beltzhoover,5.120772946859904
Bloomfield,4.734299516908212
Bluff,5.555555555555555
Bon Air,9.758454106280194
Brighton Heights,4.830917874396135
Brookline,4.879227053140096
California-Kirkbride,8.937198067632849
Carrick,0.0
Central Business District,0.6763285024154586
Central Lawrenceville,7.971014492753623
Central Northside,5.458937198067632
Central Oakland,6.618357487922706
Chartiers City,9.61352657004831
Chateau,9.468599033816425
Crafton Heights,7.149758454106281
Crawford-Roberts,6.618357487922706
Duquesne Heights,8.502415458937199
East Allegheny,5.700483091787439
East Carnegie,9.61352657004831
East Hills,4.879227053140096
East Liberty,3.526570048309179
Elliott,8.164251207729468
Esplen,9.371980676328501
Fairywood,9.371980676328501
Fineview,8.647342995169083
Friendship,9.371980676328501
Garfield,6.183574879227054
Glen Hazel,9.27536231884058
Greenfield,6.8599033816425115
Hays,9.758454106280194
Hazelwood,3.913043478260869
Highland Park,8.019323671497585
Homewood North,3.7681159420289854
Homewood South,3.7681159420289854
Homewood West,8.55072463768116
Knoxville,3.333333333333334
Larimer,6.086956521739131
Lincoln Place,8.840579710144928
Lincoln-Lemington-Belmar,3.4299516908212557
Lower Lawrenceville,8.21256038647343
Manchester,7.536231884057971
Marshall-Shadeland,5.3140096618357475
Middle Hill,6.231884057971015
Morningside,9.371980676328501
Mount Oliver Borough,9.951690821256038
Mount Washington,3.9613526570048307
Mt. Oliver,9.710144927536232
New Homestead,9.855072463768117
North Oakland,4.975845410628019
North Shore,9.130434782608695
Northview Heights,7.971014492753623
Oakwood,9.61352657004831
Overbrook,8.743961352657005
Perry North,6.763285024154589
Perry South,4.1062801932367154
Point Breeze,7.971014492753623
Point Breeze North,8.26086956521739
Polish Hill,9.323671497584542
Regent Square,9.855072463768117
Ridgemont,10.0
Shadyside,3.333333333333334
Sheraden,4.347826086956522
South Oakland,7.487922705314009
South Shore,9.710144927536232
South Side Flats,1.9323671497584538
South Side Slopes,7.439613526570048
Spring Garden,9.468599033816425
Spring Hill-City View,6.714975845410628
Squirrel Hill North,4.685990338164251
Squirrel Hill South,2.8019323671497585
St. Clair,9.855072463768117
Stanton Heights,8.309178743961352
Strip District,8.067632850241546
Summer Hill,9.565217391304348
Swisshelm Park,9.66183574879227
Terrace Village,7.439613526570048
Troy Hill,7.536231884057971
Upper Hill,7.826086956521739
Upper Lawrenceville,8.405797101449275
West End,9.66183574879227
West Oakland,8.26086956521739
Westwood,9.323671497584542
Windgap,9.516908212560386
